Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
337866 2001 WL15                    2001 WL15      Sk       664  Sk       664   
334673 2003 AL18                    2003 AL18      S        H88  S        H88    
334412 2002 EZ2                     2002 EZ2       S        H88  S        H88    
333578 2006 KM103                   2006 KM103     V        H88  V        H88    
333358 2001 WN1                     2001 WN1       C        C80  C        C80
330825 2008 XE3                     2008 XE3       S        C79  S        C79
329614 2003 KU2                     2003 KU2       Sq       C36  Sq       C36
325769 2010 LY63                    2010 LY63      Sq/Q     E51  Sq/Q     E51  
311925 2007 BF72                    2007 BF72      Sq/Sr    E49  Sq/Sr    E49
310442 2000 CH59                    2000 CH59      Sq       D81  Sq       D81
310442 2000 CH59                    2000 CH59      Scomp    E51  Scomp    E51
309214 2007 LL                      2007 LL        Q        E51  Q        E51  
303174 2004 FH11                    2004 FH11      S/Sr     E51  S/Sr     E51  
302831 2003 FH                      2003 FH        Q        D81  Q        D81
302831 2003 FH                      2003 FH        Q        E51  Q        E51  
302311 2002 AA                      2002 AA        S        E51  Sq,S     664,E51
301844 1990 UA                      1990 UA        Sq       D81  Sq       D81
301844 1990 UA                      1990 UA        Scomp    E51  Scomp    E51
297418 2000 SP43                    2000 SP43      V        D81  Sr;V     B49,D81
297274 1996 SK                      1996 SK        S        D80  S        D80
293726 2007 RQ17                    2007 RQ17      A        H85  A        H85
285838 2001 FA1                     2001 FA1       Sq       E51  Sq       E51  
285263 1998 QE2                     1998 QE2       Ch       D10  Ch       D10,D12
283460 2001 PD1                     2001 PD1       S        E51  S        E51
277475 2005 WK4                     2005 WK4       Sk       D31  Sk       D31
277127 2005 GW119                   2005 GW119     Sq       E42  Sq       E42
275792 2001 QH142                   2001 QH142     C/X      D81  C/X      D81
274138 2008 FU6                     2008 FU6       Sq/Q     E51  Sq/Q     E51  
274138 2008 FU6                     2008 FU6       Q        E51  Sq;Q     D81,E51
269690 1996 RG3                     1996 RG3       C        E73  C        E73
267729 2003 FC5                     2003 FC5       S        D81  S        D81
267136 2000 EF104                   2000 EF104     S        H88  S        H88    
265187 2003 YS117                   2003 YS117     Q        D81  Q        D81
264357 2000 AZ93                    2000 AZ93      Scomp    E51  Scomp    E51
260141 2004 QT24                    2004 QT24      Scomp    E51  Q;Scomp  B34,D81,E51
257744 2000 AD205                   2000 AD205     K        D81  K        B34,D81
256412 2007 BT2                     2007 BT2       C/Cb     D81  C/Cb     D81
