Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
455299,"        2002 EL6","         NEA>Apollo",,,,,,,,,,0.4782,,,,,,S,"  ","  ",5
163243,"        2002 FB3","           NEA>Aten",,,,,,,,,,0.3926,0.5722,-0.1754,0.3968,0.1796,0.0042,Q,"pU","pQ",1
222869,"        2002 FB6","         NEA>Apollo",,,,,,,,,,0.6232,0.1725,,,-0.4507,,U,"  ","  ",5
154229,"       2002 JN97","         NEA>Apollo",,,,,,,,,,0.3752,0.4885,-0.1878,0.3007,0.1133,-0.0745,U,"pU","pQ",1
154244,"        2002 KL6","           NEA>Amor",,,,,,,,,,0.3879,0.6513,-0.2428,0.4085,0.2634,0.0206,V,"pV","pU",1
159686,"        2002 LB6","         NEA>Apollo",,,,,,,,,,0.389,0.4874,-0.127,0.387,0.1624,0.0404,U,"pU","pX",1
163335,"         2002 LJ","         NEA>Apollo",,,,,,,,,,0.9559,,,,,,U,"  ","  ",5
99799,"        2002 LJ3","           NEA>Amor",,,,,,,,,,0.3418,0.5305,-0.1963,0.3384,0.1868,8.0E-4,U,"pU","pV",1
141765,"        2002 MP3","           NEA>Amor",,,,,,,,,,0.3481,,,,,,S,"  ","  ",5
495848,"        2002 QD7","         NEA>Apollo",,,,,,,,,,0.4579,0.9388,,,0.4809,,S,"  ","  ",5
142040,"       2002 QE15","           NEA>Amor",,,,,,,,,,0.3552,0.7029,,,0.3477,,S,"  ","  ",5
247517,"        2002 QY6","           NEA>Aten",,,,,,,,,,0.5114,,,,,,S,"  ","  ",5
,"         2002 RB","           NEA>Amor",,,,,,,,,,0.3113,0.498,-0.1493,0.3487,0.1815,0.0322,U,"pU","pC",1
370307,"       2002 RH52","         NEA>Apollo",,,,,,,,,,,,-0.049,,0.3488,0.2998,S,"pU","pS",4
112985,"       2002 RS28","           NEA>Amor",,,,,,,,,,0.3788,0.7893,-0.246,0.5433,0.4105,0.1645,V,"pU","pV",1
163412,"       2002 RV25","           NEA>Amor",,,,,,,,,,0.1344,,,,,,C,"  ","  ",5
253062,"       2002 TC70","           NEA>Amor",,,,,,,,,,0.516,,-0.2465,,,,S,"pU","pS",2
326683,"         2002 WP","           NEA>Amor",,,,,,,,,,0.3545,0.6445,,,0.29,,S,"  ","  ",5
469494,"       2002 XS40","         NEA>Apollo",,,,,,,,,,0.3847,0.6095,,,0.2248,,S,"  ","  ",5
310842,"       2003 AK18","           NEA>Aten",,,,,,,,,,0.2543,0.4112,-0.0779,0.3333,0.1569,0.079,U,"pU","pB",1
143527,"       2003 EN16","           NEA>Amor",,,,,,,,,,0.2892,,,,,,C,"  ","  ",5
350988,"         2003 GW","         NEA>Apollo",,,,,,,,,,0.5088,,,,,,S,"  ","  ",5
183548,"       2003 HU42","           NEA>Amor",,,,,,,,,,0.3193,,,,,,C,"  ","  ",5
422977,"        2003 MV7","           NEA>Amor",,,,,,,,,,0.2059,,,,,,C,"  ","  ",5
143643,"        2003 NP7","           NEA>Amor",,,,,,,,,,0.3267,0.3781,0.3614,0.7395,0.029,0.3904,U,"pU","pC",1
524594,"        2003 NW1","         NEA>Apollo",,,,,,,,,,0.575,,,,,,S,"  ","  ",5
488645,"         2003 OV","         NEA>Apollo",,,,,,,,,,0.5045,,,,,,S,"  ","  ",5
242211,"       2003 QB90","           NEA>Amor",,,,,,,,,,0.3992,,-0.156,,,,S,"pU","pS",1
206359,"       2003 QM47","           NEA>Amor",,,,,,,,,,0.3137,,,,,,U,"  ","  ",5
206378,"         2003 RB","         NEA>Apollo",,,,,,,,,,0.375,0.6177,-0.0296,0.5881,0.2427,0.2131,S,"pU","pS",1
143678,"      2003 SA224","           NEA>Amor",,,,,,,,,,0.255,,,,,,C,"  ","  ",5
223456,"       2003 UB10","           NEA>Amor",,,,,,,,,,0.3744,,,,,,S,"  ","  ",5
226554,"       2003 WR21","         NEA>Apollo",,,,,,,,,,0.3509,,,,,,S,"  ","  ",5
143947,"      2003 YQ117","         NEA>Apollo",,,,,,,,,,0.3593,,,,,,S,"  ","  ",5
,"       2003 YS17","           NEA>Aten",,,,,,,,,,-0.29,,,,,,U,"  ","  ",5
232691,"        2004 AR1","         NEA>Apollo",,,,,,,,,,,,-0.1555,,0.0158,-0.1397,U,"pU","pB",4
468462,"      2004 BS102","           NEA>Amor",,,,,,,,,,0.4239,0.5866,-0.4479,0.1377,0.1573,-0.2872,V,"pV","pC",1
154656,"        2004 FE3","         NEA>Apollo",,,,,,,,,,0.4744,0.6975,-0.2963,0.4012,0.0545,-0.2418,V,"pU","pV",1
186822,"       2004 FE31","         NEA>Apollo",,,,,,,,,,0.5574,0.3456,0.0342,0.3798,-0.2709,-0.2367,U,"pU","pV",1
303174,"       2004 FH11","           NEA>Amor",,,,,,,,,,0.5262,0.656,-0.106,0.5497,0.1251,0.0223,S,"pU","pS",1
374038,"         2004 HW","         NEA>Apollo",,,,,,,,,,0.3643,0.6645,,,0.3002,,S,"  ","  ",5
