Number,Name,properH,DynClass,grcomplex
334673,"2003 AL18",,"NEA>Apollo",C
,"2008 QC",,"NEA>Amor",S
,"2010 WB3",,"NEA>Apollo",V
,"2010 TM167",,"NEA>Apollo",V
,"2005 SR1",,"NEA>Amor",X
,"2002 RT129",,"NEA>Apollo",U
444185,"2005 SR1",,"NEA>Amor",X
382745,"2003 CC",,"NEA>Apollo",V
,"2004 TU11",,"NEA>Amor",C
370307,"2002 RH52",,"NEA>Apollo",C
,"2010 TU54",,"NEA>Amor",B
414772,"2010 OC103",,"NEA>Apollo",C
444185,"2005 SR1",,"NEA>Amor",X
,"2016 WJ1",,"NEA>Apollo",V
162149,"1998 YQ11",,"NEA>Amor",S
523915,"1997 VM4",,"NEA>Apollo",B
,"2004 RN335",,"NEA>Amor",U
475665,"2006 VY13",,"NEA>Amor",V
,"2014 HY196",,"NEA>Amor",U
5011,"Ptah",,"NEA>Apollo",S
143624,"2003 HM16",,"NEA>Apollo",S
444185,"2005 SR1",,"NEA>Amor",X
475665,"2006 VY13",,"NEA>Amor",V
209924,"2005 WS55",,"NEA>Amor",L
,"2005 SH26",,"NEA>Apollo",V
,"2008 VB1",,"NEA>Apollo",V
,"2011 VQ5",,"NEA>Amor",V
143624,"2003 HM16",,"NEA>Apollo",S
345646,"2006 TN",,"NEA>Amor",C
,"2013 WN67",,"NEA>Amor",V
444185,"2005 SR1",,"NEA>Amor",X
,"2003 WM7",,"NEA>Apollo",C
,"2002 XP40",,"NEA>Amor",S
1221,"Amor",,"NEA>Amor",D
,"2005 SH26",,"NEA>Apollo",V
,"2006 VY13",,"NEA>Amor",V
444185,"2005 SR1",,"NEA>Amor",X
479345,"2013 WY67",,"NEA>Apollo",V
444185,"2005 SR1",,"NEA>Amor",X
410649,"2008 SO",,"NEA>Amor",S
194386,"2001 VG5",,"NEA>Apollo",V
,"2013 WU45",,"NEA>Apollo",U
,"2014 US192",,"NEA>Apollo",S
,"2018 AO18",,"NEA>Amor",U
,"2016 EN1",,"NEA>Amor",V
,"2008 RP108",,"NEA>Amor",S
,"2008 RP108",,"NEA>Amor",S
,"2011 DS9",,"NEA>Apollo",U
414772,"2010 OC103",,"NEA>Apollo",C
444185,"2005 SR1",,"NEA>Amor",X
451003,"2008 UD1",,"NEA>Apollo",V
,"2014 US192",,"NEA>Apollo",S
444185,"2005 SR1",,"NEA>Amor",X
,"2003 OC3",,"NEA>Apollo",C
523915,"1997 VM4",,"NEA>Apollo",B
523599,"2003 RM",,"NEA>Amor",S
,"2019 AZ13",,"NEA>Amor",V
69230,"Hermes",,"NEA>Apollo",V
137126,"1999 CF9",,"NEA>Apollo",S
414772,"2010 OC103",,"NEA>Apollo",C
444185,"2005 SR1",,"NEA>Amor",X
,"2016 EN1",,"NEA>Amor",V
,"2000 YN29",,"NEA>Apollo",U
,"2014 SK142",,"NEA>Amor",U
,"2001 LB",,"NEA>Apollo",C
,"2003 WM7",,"NEA>Apollo",C
,"2000 WK63",,"NEA>Apollo",V
8201,"1994 AH2",,"NEA>Apollo",V
,"2002 XP40",,"NEA>Amor",S
452302,"1995 YR1",,"NEA>Apollo",V
138847,"2000 VE62",,"NEA>Amor",S
,"2010 AF30",,"NEA>Apollo",V
,"2018 TY2",,"NEA>Apollo",U
444185,"2005 SR1",,"NEA>Amor",X
,"2011 VQ5",,"NEA>Amor",V
417217,"2005 YS",,"NEA>Aten",B
481790,"2008 TF4",,"NEA>Amor",V
,"2008 WL60",,"NEA>Amor",S
39572,"1993 DQ1",,"NEA>Amor",C
,"2008 WP1",,"NEA>Amor",B
,"2019 CS",,"NEA>Apollo",U
8201,"1994 AH2",,"NEA>Apollo",V
414772,"2010 OC103",,"NEA>Apollo",C
444185,"2005 SR1",,"NEA>Amor",X
,"2003 RM",,"NEA>Amor",S
,"2014 DJ23",,"NEA>Apollo",V
310402,"1999 EE5",,"NEA>Amor",U
,"2010 VE1",,"NEA>Amor",C
,"Hermes",,"NEA>Apollo",V
,"2002 JV15",,"NEA>Apollo",U
,"2017 GU6",,"NEA>Amor",U
,"2003 WM7",,"NEA>Apollo",C
,"2019 PH",,"NEA>Amor",U
,"2014 FX",,"NEA>Amor",V
,"2006 YD",,"NEA>Apollo",D
394155,"2006 QS",,"NEA>Amor",S
,"2016 AJ8",,"NEA>Apollo",U
,"2014 YS50",,"NEA>Amor",U
,"2007 TA25",,"NEA>Amor",U
96744,"1999 OW3",,"NEA>Apollo",V
,"2010 AF30",,"NEA>Apollo",V
,"2007 EH88",,"NEA>Apollo",U
,"2015 DE176",,"NEA>Apollo",V
96536,"1998 SO10",,"NEA>Apollo",V
,"2008 GV3",,"NEA>Apollo",U
,"2002 FC",,"NEA>Apollo",V
345646,"2006 TN",,"NEA>Amor",C
490791,"2010 VE1",,"NEA>Amor",C
394155,"2006 QS",,"NEA>Amor",S
,"2005 XW77",,"NEA>Amor",U
,"2006 CW",,"NEA>Amor",U
418135,"2008 AG33",,"NEA>Apollo",D
137126,"1999 CF9",,"NEA>Apollo",S
,"2004 YK1",,"NEA>Amor",V
8201,"1994 AH2",,"NEA>Apollo",V
,"2008 OX8",,"NEA>Amor",C
,"2019 OJ2",,"NEA>Apollo",U
386281,"2008 RJ1",,"NEA>Amor",D
,"2003 OC3",,"NEA>Apollo",C
20790,"2000 SE45",,"NEA>Amor",S
,"2008 FN6",,"NEA>Amor",S
,"2006 UQ17",,"NEA>Apollo",C
359592,"2010 VA1",,"NEA>Amor",V
345646,"2006 TN",,"NEA>Amor",C
106538,"2000 WK63",,"NEA>Apollo",V
,"2006 UQ17",,"NEA>Apollo",C
,"2004 YK1",,"NEA>Amor",V
220839,"2004 VA",,"NEA>Apollo",C
,"2008 RJ1",,"NEA>Amor",D
,"2002 XP40",,"NEA>Amor",S
,"2018 DP3",,"NEA>Apollo",U
,"2006 SP198",,"NEA>Amor",B
,"1995 YR1",,"NEA>Apollo",V
,"2008 FN6",,"NEA>Amor",S
,"2002 XP40",,"NEA>Amor",S
,"2006 TN",,"NEA>Amor",C
313538,"2002 YB12",,"NEA>Apollo",C
106538,"2000 WK63",,"NEA>Apollo",V
,"2008 OS7",,"NEA>Apollo",C
,"2013 WN67",,"NEA>Amor",V
,"2004 FZ5",,"NEA>Amor",U
184266,"2004 VW14",,"NEA>Apollo",V
,"2016 XF18",,"NEA>Apollo",U
418135,"2008 AG33",,"NEA>Apollo",D
,"2006 TN",,"NEA>Amor",C
,"2016 VG2",,"NEA>Apollo",U
414772,"2010 OC103",,"NEA>Apollo",C
397847,"2008 TA1",,"NEA>Apollo",V
164214,"2004 LZ11",,"NEA>Amor",S
189700,"2001 TA45",,"NEA>Amor",S
136839,"1997 WT22",,"NEA>Amor",S
,"2014 WP365",,"NEA>Amor",V
,"2017 FC157",,"NEA>Amor",V
,"2014 FX",,"NEA>Amor",V
,"2009 BJ81",,"NEA>Apollo",U
477465,"2009 XZ1",,"NEA>Aten",V
,"2018 EJ4",,"NEA>Amor",U
,"2019 CE",,"NEA>Apollo",U
,"2004 RX109",,"NEA>Apollo",C
,"2017 FC157",,"NEA>Amor",V
223456,"2003 UB10",,"NEA>Amor",S
136839,"1997 WT22",,"NEA>Amor",S
312473,"2008 SX245",,"NEA>Amor",B
,"2013 WN67",,"NEA>Amor",V
223456,"2003 UB10",,"NEA>Amor",S
461852,"2006 GY2",,"NEA>Apollo",U
,"2013 WN67",,"NEA>Amor",V
66251,"1999 GJ2",,"NEA>Amor",A
223456,"2003 UB10",,"NEA>Amor",S
66251,"1999 GJ2",,"NEA>Amor",A
412977,"1990 UO",,"NEA>Apollo",U
184266,"2004 VW14",,"NEA>Apollo",V
505093,"2011 VQ5",,"NEA>Amor",V
,"2002 FQ4",,"NEA>Amor",V
,"2015 JV",,"NEA>Apollo",U
139211,"2001 GN2",,"NEA>Amor",C
190119,"2004 VA64",,"NEA>Apollo",U
